scheme_name,category,state,age_min,age_max,gender,income_limit,occupation,student_status,marital_status,social_category,farmer_status,disability_status,rural_urban,benefit,eligibility,official_website,last_verified
Kalyana Lakshmi / Shaadi Mubarak,Women Welfare,Telangana,18,100,Female,,Any,Any,Unmarried,Any,Any,Any,Any,Financial assistance for eligible marriages,"Eligible brides/families meeting Telangana income, age, community and other applicable conditions",https://telangana.gov.in/,2026-09
Kisan Credit Card,Agriculture,All India,18,75,Any,,Farmer,No,Any,Any,Yes,Any,Any,Credit facility for agricultural and allied activities,Farmers and eligible agricultural/allied activity applicants meeting lending institution criteria,https://www.myscheme.gov.in/schemes/kcc,2026-09
Ayushman Bharat PM-JAY,Healthcare,All India,0,100,Any,,Any,Any,Any,Any,Any,Any,Any,Cashless health coverage for eligible families,Eligibility is based primarily on the scheme database and applicable government criteria,https://pmjay.gov.in/,2026-09
PM SVANidhi,Employment,All India,18,100,Any,,Business,Any,Any,Any,Any,Any,Any,Working-capital loan support for eligible street vendors,Street vendors meeting current PM SVANidhi eligibility and verification requirements,https://pmsvanidhi.mohua.gov.in/,2026-09
Sukanya Samriddhi Yojana,Women Welfare,All India,0,10,Female,,Any,Any,Any,Any,Any,Any,Any,Savings account scheme for a girl child,Account can be opened for an eligible girl child subject to current scheme rules,https://www.indiapost.gov.in/,2026-09
Pradhan Mantri Jan-Dhan Yojana,Financial Inclusion,All India,10,100,Any,,Any,Any,Any,Any,Any,Any,Any,Basic banking access and financial inclusion services,Eligible individuals can open accounts subject to current bank/KYC requirements,https://pmjdy.gov.in/,2026-09
PM Vishwakarma,Employment,All India,18,100,Any,,Business,Any,Any,Any,Any,Any,Any,"Training, toolkit incentive, credit and other support for eligible artisans",Traditional artisans/craftspeople in notified trades meeting current PM Vishwakarma criteria,https://pmvishwakarma.gov.in/,2026-09
Janani Suraksha Yojana,Healthcare,All India,18,100,Female,,Any,Any,Any,Any,Any,Any,Any,Financial assistance promoting institutional delivery,Pregnant women meeting the applicable JSY eligibility conditions,https://nhm.gov.in/,2026-09
PM Fasal Bima Yojana,Agriculture,All India,18,100,Any,,Farmer,No,Any,Any,Yes,Any,Any,Crop insurance against specified crop losses and risks,Farmers enrolled for notified crops/areas and meeting current PMFBY rules,https://pmfby.gov.in/,2026-09
Pradhan Mantri Matru Vandana Yojana (PMMVY),Women Welfare,All India,19,55,Female,,Any,Any,Any,Any,Any,Any,Any,"Cash incentive of Rs 5,000 for the first child, and Rs 6,000 for a second child if it is a girl","Pregnant/lactating women meeting any one criterion: SC/ST, disability 40%+, BPL/NFSA ration card, PMJAY, e-Shram or MGNREGA card, or family income under Rs 8 lakh. Regular central/state government employees are excluded",https://pmmvy.wcd.gov.in/,2026-09
Stand-Up India,Employment,All India,18,100,Any,,Business,Any,Any,Any,Any,Any,Any,Bank loans of Rs 10 lakh to Rs 1 crore for a first-time greenfield enterprise,"Women entrepreneurs or SC/ST entrepreneurs aged 18+ setting up a new manufacturing, services or trading unit. Confirm current scheme validity on the official portal",https://www.standupmitra.in/,2026-09
Lakhpati Didi (DAY-NRLM),Women Welfare,All India,18,100,Female,,Any,Any,Any,Any,Any,Any,Rural,"Skill training, SHG support and credit linkage to help women earn a sustainable income","Women from rural households who are members of Self Help Groups under DAY-NRLM, subject to state mission guidelines",https://aajeevika.gov.in/,2026-09
One Stop Centre (Sakhi),Women Welfare,All India,0,100,Female,,Any,Any,Any,Any,Any,Any,Any,"Integrated support: medical aid, police assistance, legal counselling and temporary shelter","Women and girls affected by violence in private or public spaces, irrespective of age, class, caste or religion",https://wcd.gov.in/,2026-09
Swadhar Greh,Women Welfare,All India,18,100,Female,,Any,Any,Any,Any,Any,Any,Any,"Shelter, food, clothing, counselling and rehabilitation support","Women in difficult circumstances such as destitute, abandoned, or survivors of violence, subject to scheme guidelines",https://wcd.gov.in/,2026-09
Mukhyamantri Majhi Ladki Bahin Yojana,Women Welfare,Maharashtra,21,65,Female,250000,Any,Any,Any,Any,Any,Any,Any,"Rs 1,500 per month via DBT","Permanent Maharashtra resident women aged 21-65 (married, widowed, divorced, abandoned or destitute; one unmarried woman per family). Family income up to Rs 2.5 lakh and no income-tax payer in family. eKYC verification is required",https://ladakibahin.maharashtra.gov.in/,2026-09
Ladli Behna Yojana,Women Welfare,Madhya Pradesh,21,60,Female,250000,Any,Any,Any,Any,Any,Any,Any,Monthly financial assistance via DBT,"Married, widowed, divorced or abandoned women of Madhya Pradesh with family income up to Rs 2.5 lakh. Income-tax payers and regular government employees are excluded",https://cmladlibahna.mp.gov.in/,2026-09
Ladli Lakshmi Yojana,Women Welfare,Madhya Pradesh,0,21,Female,,Any,Any,Unmarried,Any,Any,Any,Any,Milestone-based payments during schooling and a lump sum at age 21,Girl child of Madhya Pradesh born on or after 1 Jan 2006. Parents must not be income-tax payers and must follow the family-planning condition. Confirm current rules on the portal,https://ladlilaxmi.mp.gov.in/,2026-09
Kanyashree Prakalpa,Education,West Bengal,13,19,Female,120000,Student,Yes,Unmarried,Any,Any,Any,Any,Annual scholarship and one-time grant to keep girls in school and delay marriage,Unmarried girls of West Bengal continuing education. Income limit does not apply for orphans and girls with disabilities. Confirm age and grade conditions on the portal,https://wbkanyashree.gov.in/,2026-09
Kanya Sumangala Yojana,Women Welfare,Uttar Pradesh,0,21,Female,300000,Any,Any,Any,Any,Any,Any,Any,"Staged cash benefits from birth through education, up to Rs 25,000 in total","Girl children of Uttar Pradesh families within the income limit, subject to the birth-order and residency conditions. Confirm the current limit on the portal",https://mksy.up.gov.in/,2026-09
Gruha Lakshmi,Women Welfare,Karnataka,18,100,Female,,Any,Any,Any,Any,Any,Any,Any,"Rs 2,000 per month to the woman head of the household",Woman head of a family holding a BPL/APL/Antyodaya ration card in Karnataka. Income-tax and GST payers are excluded,https://sevasindhugs.karnataka.gov.in/,2026-09
Magalir Urimai Thogai,Women Welfare,Tamil Nadu,21,100,Female,250000,Any,Any,Any,Any,Any,Any,Any,Monthly assistance to the woman head of the family via DBT,Woman head of an eligible ration-card family in Tamil Nadu with annual income up to Rs 2.5 lakh and within the asset limits. Confirm current amount and rules,https://www.tn.gov.in/,2026-09
Pudhumai Penn,Education,Tamil Nadu,11,25,Female,,Student,Yes,Any,Any,Any,Any,Any,Monthly assistance for girls who studied in government schools and pursue higher education,"Girl students from Tamil Nadu government schools (Class 6-12) enrolled in undergraduate, diploma or ITI courses. Confirm current rules",https://pudhumaipenn.tn.gov.in/,2026-09
Pragati Scholarship for Girl Students (AICTE),Education,All India,17,30,Female,800000,Student,Yes,Any,Any,Any,Any,Any,Annual financial support for tuition and other expenses,"Girl students admitted to AICTE-approved degree/diploma programmes, family income up to Rs 8 lakh, limited to two girls per family. Confirm current quota rules",https://scholarships.gov.in/,2026-09
Saksham Scholarship (AICTE),Education,All India,17,30,Any,800000,Student,Yes,Any,Any,Any,Yes,Any,Annual financial support for technical education,"Students with 40%+ disability admitted to AICTE-approved degree/diploma programmes, family income up to Rs 8 lakh. Confirm current rules",https://scholarships.gov.in/,2026-09
Central Sector Scholarship for College and University Students,Education,All India,17,25,Any,450000,Student,Yes,Any,Any,Any,Any,Any,Annual scholarship for undergraduate and postgraduate studies,"Students above the Class 12 merit cut-off in regular degree courses, family income up to Rs 4.5 lakh. Confirm current cut-off and amount",https://scholarships.gov.in/,2026-09
National Means-cum-Merit Scholarship (NMMSS),Education,All India,13,18,Any,350000,Student,Yes,Any,Any,Any,Any,Any,"Scholarship of Rs 12,000 per year to reduce Class 9-12 dropout","Class 8 pass students in government/aided schools who clear the state selection test, family income up to Rs 3.5 lakh",https://scholarships.gov.in/,2026-09
PM YASASVI Scholarship,Education,All India,13,19,Any,250000,Student,Yes,Any,OBC,Any,Any,Any,Scholarship support for school and merit-based education,"OBC, EBC and DNT students in Classes 9-12, family income up to Rs 2.5 lakh. Confirm current selection process",https://scholarships.gov.in/,2026-09
Post Matric Scholarship for SC Students,Education,All India,15,100,Any,250000,Student,Yes,Any,SC,Any,Any,Any,Maintenance allowance and fee reimbursement after Class 10,"SC students pursuing post-matric courses, family income up to Rs 2.5 lakh. Confirm current income ceiling",https://scholarships.gov.in/,2026-09
Post Matric Scholarship for ST Students,Education,All India,15,100,Any,250000,Student,Yes,Any,ST,Any,Any,Any,Maintenance allowance and fee reimbursement after Class 10,"ST students pursuing post-matric courses, family income up to Rs 2.5 lakh. Confirm current income ceiling",https://scholarships.gov.in/,2026-09
Merit-cum-Means Scholarship for Minorities,Education,All India,17,100,Any,250000,Student,Yes,Any,Minority,Any,Any,Any,Course fee and maintenance allowance for professional/technical courses,"Students from notified minority communities in eligible professional/technical courses, family income up to Rs 2.5 lakh",https://scholarships.gov.in/,2026-09
PM Vidyalaxmi,Education,All India,17,35,Any,,Student,Yes,Any,Any,Any,Any,Any,Collateral-free education loans with interest support for eligible students,Students admitted to notified quality higher education institutions. Interest subvention applies to families under an income cap. Confirm current rules,https://pmvidyalaxmi.co.in/,2026-09
INSPIRE Scholarship (SHE),Education,All India,17,22,Any,,Student,Yes,Any,Any,Any,Any,Any,"Scholarship of Rs 80,000 per year for basic and natural science degrees","Students in the top 1% of Class 12 boards, or JEE/NEET rank holders, pursuing basic science courses",https://www.online-inspire.gov.in/,2026-09
Telangana ePASS Post Matric Scholarships / Fee Reimbursement,Education,Telangana,15,100,Any,200000,Student,Yes,Any,Any,Any,Any,Any,Tuition fee reimbursement and scholarship for eligible students,"Telangana students in post-matric courses from SC, ST, BC, EBC, minority and disabled categories. Income limit varies by category; confirm on ePASS",https://telanganaepass.cgg.gov.in/,2026-09
Ambedkar Overseas Vidya Nidhi,Education,Telangana,21,35,Any,500000,Student,Yes,Any,SC,Any,Any,Any,Financial assistance of up to Rs 20 lakh for overseas Master's/PhD studies,"SC students of Telangana admitted to foreign universities, family income up to Rs 5 lakh. Confirm current age and ranking conditions",https://telanganaepass.cgg.gov.in/,2026-09
Mahatma Jyotiba Phule BC Overseas Vidya Nidhi,Education,Telangana,21,35,Any,500000,Student,Yes,Any,OBC,Any,Any,Any,Financial assistance of up to Rs 20 lakh for overseas Master's/PhD studies,"BC students of Telangana admitted to foreign universities, family income up to Rs 5 lakh. Confirm current age and ranking conditions",https://telanganaepass.cgg.gov.in/,2026-09
PM Kisan Maandhan Yojana,Agriculture,All India,18,40,Any,,Farmer,Any,Any,Any,Yes,Any,Any,"Monthly pension of Rs 3,000 after age 60","Small and marginal farmers aged 18-40 with up to 2 hectares of land, paying a monthly contribution. Not for those covered by NPS, ESIC or EPFO",https://pmkmy.gov.in/,2026-09
Rythu Bima,Agriculture,Telangana,18,59,Any,,Farmer,Any,Any,Any,Yes,Any,Any,"Life insurance cover of Rs 5 lakh, paid to the nominee on the farmer's death","Telangana farmers aged 18-59 holding land with a passbook, with the premium paid by the state government. Confirm current enrolment rules",https://agriculture.telangana.gov.in/,2026-09
Soil Health Card Scheme,Agriculture,All India,18,100,Any,,Farmer,Any,Any,Any,Yes,Any,Any,Free soil testing with crop-wise nutrient recommendations,Farmers with agricultural land can register for soil sampling through the state agriculture department,https://soilhealth.dac.gov.in/,2026-09
PM Krishi Sinchayee Yojana (PMKSY),Agriculture,All India,18,100,Any,,Farmer,Any,Any,Any,Yes,Any,Any,"Support for micro-irrigation such as drip and sprinklers, and water-use efficiency","Farmers adopting micro-irrigation, with subsidy rates depending on farmer category and state. Apply through the state agriculture/horticulture department",https://pmksy.gov.in/,2026-09
Agriculture Infrastructure Fund,Agriculture,All India,18,100,Any,,Farmer,Any,Any,Any,Yes,Any,Any,Loans of up to Rs 2 crore with 3% interest subvention for post-harvest infrastructure,"Farmers, FPOs, agri-entrepreneurs, start-ups and cooperatives building post-harvest or community farming assets",https://agriinfra.dac.gov.in/,2026-09
PM-KUSUM (Solar Pumps for Farmers),Agriculture,All India,18,100,Any,,Farmer,Any,Any,Any,Yes,Any,Any,Subsidy for solar irrigation pumps and solarisation of existing pumps,Farmers wanting to install a solar pump or set up solar power on their land. Subsidy pattern depends on the state,https://pmkusum.mnre.gov.in/,2026-09
PM Mudra Yojana,Employment,All India,18,100,Any,,Any,Any,Any,Any,Any,Any,Any,"Collateral-free loans up to Rs 20 lakh (Shishu, Kishor, Tarun and Tarun Plus categories)","Non-corporate, non-farm small and micro businesses in manufacturing, trading or services. Apply through banks, NBFCs or MFIs",https://www.mudra.org.in/,2026-09
PMEGP (Prime Minister's Employment Generation Programme),Employment,All India,18,100,Any,,Any,Any,Any,Any,Any,Any,Any,Credit-linked subsidy of roughly 15-35% for setting up a new micro enterprise,Individuals aged 18+ setting up a new project. Class 8 pass is needed for larger project costs. Subsidy varies by category and area,https://www.kviconline.gov.in/pmegpeportal/,2026-09
Startup India,Employment,All India,18,100,Any,,Business,Any,Any,Any,Any,Any,Any,"Recognition, tax benefits and funding support for eligible start-ups","Entities registered as a private limited company, LLP or partnership and recognised by DPIIT, within the age and turnover limits",https://www.startupindia.gov.in/,2026-09
PM Internship Scheme,Employment,All India,21,24,Any,800000,Unemployed,No,Any,Any,Any,Any,Any,"Monthly stipend of about Rs 5,000 and a one-time grant during a 12-month internship","Youth aged 21-24, not in full-time education or a full-time job, with family income up to Rs 8 lakh and no government job in the family. Confirm the current rules",https://pminternship.mca.gov.in/,2026-09
PM Kaushal Vikas Yojana (PMKVY),Employment,All India,15,45,Any,,Any,Any,Any,Any,Any,Any,Any,Free short-term skill training with certification,Indian youth in the age range who are school or college dropouts or unemployed. Confirm eligibility for the current version,https://www.skillindia.gov.in/,2026-09
DDU-GKY,Employment,All India,15,35,Any,,Any,Any,Any,Any,Any,Any,Rural,Free skill training with placement support for rural youth,"Rural youth aged 15-35 from poor households (SC/ST, women and disabled candidates get relaxations). Age limit is up to 45 for special groups",https://ddugky.gov.in/,2026-09
MGNREGA,Employment,All India,18,100,Any,,Any,Any,Any,Any,Any,Any,Rural,Up to 100 days of guaranteed wage employment per year,"Adult members of rural households willing to do unskilled manual work, registered for a job card at the gram panchayat",https://nrega.nic.in/,2026-09
e-Shram (Unorganised Workers),Social Welfare,All India,16,59,Any,,Any,Any,Any,Any,Any,Any,Any,"Universal Account Number, accident insurance and access to social security schemes","Unorganised workers aged 16-59 who are not members of EPFO, ESIC or NPS and not income-tax payers",https://eshram.gov.in/,2026-09
Atal Pension Yojana,Social Welfare,All India,18,40,Any,,Any,Any,Any,Any,Any,Any,Any,"Guaranteed monthly pension of Rs 1,000 to Rs 5,000 from age 60, based on contribution","Indian citizens aged 18-40 with a savings bank account, who are not income-tax payers. Confirm current rules",https://www.jansuraksha.gov.in/,2026-09
PM Suraksha Bima Yojana,Social Welfare,All India,18,70,Any,,Any,Any,Any,Any,Any,Any,Any,"Accident insurance: Rs 2 lakh for death or total disability, Rs 1 lakh for partial disability",Savings bank account holders aged 18-70 who consent to auto-debit of the annual premium (about Rs 20),https://www.jansuraksha.gov.in/,2026-09
PM Jeevan Jyoti Bima Yojana,Social Welfare,All India,18,50,Any,,Any,Any,Any,Any,Any,Any,Any,Life insurance cover of Rs 2 lakh on death from any cause,Savings bank account holders aged 18-50 who consent to auto-debit of the annual premium (about Rs 436). Cover continues up to age 55,https://www.jansuraksha.gov.in/,2026-09
PM Shram Yogi Maandhan (PM-SYM),Social Welfare,All India,18,40,Any,180000,Any,Any,Any,Any,Any,Any,Any,"Assured monthly pension of Rs 3,000 after age 60","Unorganised workers aged 18-40 with monthly income up to Rs 15,000. Not covered by EPFO, ESIC or NPS and not income-tax payers",https://maandhan.in/,2026-09
Indira Gandhi National Old Age Pension (NSAP),Social Welfare,All India,60,100,Any,,Any,Any,Any,Any,Any,Any,Any,"Monthly central pension for elderly persons, topped up by many states",Persons aged 60+ belonging to a BPL household. The central amount is higher at age 80+,https://nsap.nic.in/,2026-09
Indira Gandhi National Widow Pension (NSAP),Social Welfare,All India,40,79,Female,,Any,Any,Widowed,Any,Any,Any,Any,"Monthly central pension for widows, topped up by many states",Widows aged 40-79 belonging to a BPL household,https://nsap.nic.in/,2026-09
Indira Gandhi National Disability Pension (NSAP),Social Welfare,All India,18,79,Any,,Any,Any,Any,Any,Any,Yes,Any,Monthly central pension for persons with severe disability,"Persons aged 18-79 with 80% or more disability, belonging to a BPL household",https://nsap.nic.in/,2026-09
National Family Benefit Scheme (NSAP),Social Welfare,All India,18,100,Any,,Any,Any,Any,Any,Any,Any,Any,One-time assistance to the bereaved family on death of the primary breadwinner,BPL family where the primary breadwinner aged 18-59 died. Apply within the time limit set by the state,https://nsap.nic.in/,2026-09
Ayushman Vay Vandana Card,Healthcare,All India,70,100,Any,,Any,Any,Any,Any,Any,Any,Any,Health cover of Rs 5 lakh per family per year for senior citizens,"All citizens aged 70+, irrespective of income, under Ayushman Bharat PM-JAY. Confirm the current enrolment process",https://pmjay.gov.in/,2026-09
Rajiv Aarogyasri,Healthcare,Telangana,0,100,Any,,Any,Any,Any,Any,Any,Any,Any,Cashless treatment for listed procedures at empanelled hospitals,Telangana families holding a white/eligible ration card. Confirm the current coverage limit on the official site,https://www.aarogyasri.telangana.gov.in/,2026-09
PM Surakshit Matritva Abhiyan,Healthcare,All India,18,49,Female,,Any,Any,Any,Any,Any,Any,Any,Free antenatal check-ups by doctors on the 9th of every month,"Pregnant women in the second or third trimester, at government health facilities",https://pmsma.mohfw.gov.in/,2026-09
National Food Security Act (Public Distribution System),Social Welfare,All India,0,100,Any,,Any,Any,Any,Any,Any,Any,Any,Subsidised or free food grains every month through ration shops,Priority households and Antyodaya (AAY) households identified by the state through ration cards,https://nfsa.gov.in/,2026-09
Rashtriya Vayoshri Yojana,Social Welfare,All India,60,100,Any,180000,Any,Any,Any,Any,Any,Any,Any,Free physical aids and assisted-living devices,"Senior citizens aged 60+ belonging to a BPL household (or income up to Rs 15,000 per month) with age-related disability",https://alimco.in/,2026-09
PM Awas Yojana - Urban 2.0,Housing,All India,18,100,Any,900000,Any,Any,Any,Any,Any,Any,Urban,"Central assistance of about Rs 2.5 lakh for building, buying or upgrading a house","Urban EWS, LIG and MIG families not owning a pucca house (family income up to about Rs 3 lakh for EWS, Rs 6 lakh for LIG and Rs 9 lakh for MIG). Confirm the current guidelines",https://pmay-urban.gov.in/,2026-09
PM Awas Yojana - Gramin,Housing,All India,18,100,Any,,Any,Any,Any,Any,Any,Any,Rural,"Financial assistance of about Rs 1.2 lakh (Rs 1.3 lakh in hilly areas) for a pucca house, plus toilet and wage support","Rural households that are houseless or live in kutcha or dilapidated houses, identified from the SECC or Awaas+ list",https://pmayg.nic.in/,2026-09
PM Surya Ghar Muft Bijli Yojana,Utilities,All India,18,100,Any,,Any,Any,Any,Any,Any,Any,Any,"Central subsidy of up to Rs 78,000 for rooftop solar, and free electricity of up to about 300 units a month",Households with a roof suitable for solar panels and a valid electricity connection. Apply through the national portal and an approved vendor,https://pmsuryaghar.gov.in/,2026-09
Indiramma Atmiya Bharosa,Social Welfare,Telangana,18,100,Any,,Any,Any,Any,Any,Any,Any,Rural,"Rs 12,000 per year for landless agricultural labour families","Landless agricultural worker families in Telangana, identified through MGNREGS job card records (at least 20 days of work in 2023-24). Confirm the current criteria",https://telangana.gov.in/,2026-09
Indiramma Minority Mahila Yojana,Women Welfare,Telangana,18,100,Female,,Any,Any,Any,Minority,Any,Any,Any,One-time grant for self-employment or small business activities,"Women from notified minority communities in Telangana, managed by the Telangana Minorities Finance Corporation. Confirm the amount and age limit",https://tgmfc.com/,2026-09
Mahalakshmi Free Bus Travel,Women Welfare,Telangana,0,100,Female,,Any,Any,Any,Any,Any,Any,Any,Free travel in state-run ordinary and express buses within Telangana,"Women, girls and transgender persons who are Telangana residents and show a valid ID. Confirm the bus categories covered",https://telangana.gov.in/,2026-09
Rajiv Gandhi Civils Abhaya Hastham,Education,Telangana,21,40,Any,800000,Any,Any,Any,Any,Any,Any,Any,Financial support of Rs 1 lakh for Civil Services Mains aspirants,Telangana candidates who cleared the UPSC Prelims and meet the family income limit. Confirm current terms,https://telangana.gov.in/,2026-09
Subhadra Yojana,Women Welfare,Odisha,21,60,Female,,Any,Any,Any,Any,Any,Any,Any,"Rs 50,000 over five years, paid in instalments through DBT",Women of Odisha aged 21-60 who are not income-tax payers or government employees and do not receive similar benefits. Confirm current rules,https://subhadra.odisha.gov.in/,2026-09
Mukhyamantri Maiyan Samman Yojana,Women Welfare,Jharkhand,18,50,Female,250000,Any,Any,Any,Any,Any,Any,Any,"Rs 2,500 per month through DBT","Women of Jharkhand aged 18-50 with family income up to Rs 2.5 lakh, not receiving similar benefits. Confirm current amount and rules",https://mmmsy.jharkhand.gov.in/,2026-09
Mahtari Vandan Yojana,Women Welfare,Chhattisgarh,21,100,Female,,Any,Any,Any,Any,Any,Any,Any,"Rs 1,000 per month through DBT","Married, widowed, divorced or abandoned women of Chhattisgarh aged 21+ who are not income-tax payers or government employees. Confirm current amount",https://mahtarivandan.cgstate.gov.in/,2026-09
Yuva Nidhi,Employment,Karnataka,18,30,Any,,Unemployed,No,Any,Any,Any,Any,Any,"Monthly unemployment allowance: Rs 3,000 for graduates and Rs 1,500 for diploma holders, for up to two years","Karnataka graduates and diploma holders who passed recently, remain unemployed, and are not studying further. Confirm the current window",https://sevasindhugs.karnataka.gov.in/,2026-09
Talliki Vandanam,Education,Andhra Pradesh,18,100,Female,,Any,Any,Any,Any,Any,Any,Any,"Rs 15,000 per year per school-going child, paid to the mother or guardian","Mothers or guardians of children in Classes 1-12 in Andhra Pradesh, subject to attendance and eligibility conditions. Confirm the current amount and rules",https://www.ap.gov.in/,2026-09
