scheme_name,documents_required,how_to_apply,apply_at
Sukanya Samriddhi Yojana,Girl child's birth certificate|Parent or guardian Aadhaar|Address proof|Photos|Initial deposit,Fill the account opening form at a post office or authorised bank with the documents and first deposit,"Post office, authorised banks"
Pradhan Mantri Jan-Dhan Yojana,Aadhaar|Passport photo|Address proof|Mobile number,Visit any bank branch or business correspondent and fill the account opening form,"Bank branch, business correspondent"
PM Vishwakarma,Aadhaar|Mobile linked to Aadhaar|Bank passbook (Aadhaar-linked)|Proof of trade or skill|Ration card,Register at a CSC or on the PM Vishwakarma portal. Your details are then verified by the Gram Panchayat or municipal body,"CSC, pmvishwakarma.gov.in"
Janani Suraksha Yojana,Aadhaar|JSY or ANC registration card|Bank passbook (Aadhaar-linked)|BPL/SC/ST card (if applicable),Register with your ASHA or ANM during pregnancy and deliver at a government or accredited facility,"ASHA worker, PHC, government hospital"
PM Fasal Bima Yojana,Aadhaar|Land records or tenancy agreement|Bank passbook (Aadhaar-linked)|Sowing certificate,"Enrol through your bank, a CSC or pmfby.gov.in before the cut-off date for the season","Bank, CSC, pmfby.gov.in"
Pradhan Mantri Matru Vandana Yojana (PMMVY),"Aadhaar (mother)|Bank or post office account|Mother and Child Protection card|Eligibility proof (SC/ST, BPL card, disability, income certificate)|Husband's Aadhaar as required","Apply at an Anganwadi centre, health facility or the PMMVY portal, then claim each instalment","Anganwadi centre, pmmvy.wcd.gov.in"
Stand-Up India,Aadhaar|PAN|Caste certificate (SC/ST applicants)|Project report|Business address proof|Bank statements,Register on the Stand-Up India portal and apply for a loan at a bank branch,"standupmitra.in, scheduled bank"
Lakhpati Didi (DAY-NRLM),Aadhaar|Bank passbook (Aadhaar-linked)|SHG membership details|Mobile number,Join or contact your local Self Help Group under DAY-NRLM through the village organisation or block office,"Village SHG, block NRLM office"
One Stop Centre (Sakhi),None needed in an emergency,"Call 181 (Women Helpline) or 112, or go to the nearest One Stop Centre. Documents are not required at first","One Stop Centre (usually in a district hospital), 181, 112"
Swadhar Greh,"ID proof, if available",Contact the Women Helpline 181 or the District Women and Child Welfare office for a placement,"District Women and Child Welfare office, 181"
Mukhyamantri Majhi Ladki Bahin Yojana,Aadhaar|Domicile proof or ration card|Income proof or ration card (yellow/orange)|Bank passbook (Aadhaar-linked)|Photo,"Apply through the official portal or app, or at the Anganwadi or ward office, and complete eKYC","Official portal, Anganwadi, ward office"
Ladli Behna Yojana,Aadhaar|Samagra ID|Bank passbook (Aadhaar-linked) (DBT enabled)|Income proof|Photo,"Apply at the Gram Panchayat or ward camp, or online on the official portal","Gram Panchayat, ward office, official portal"
Ladli Lakshmi Yojana,Girl's birth certificate|Parents' Samagra ID|Aadhaar|Family planning certificate|Anganwadi registration|Bank or post office account,Register the girl child at the Anganwadi centre or Women and Child Development office,"Anganwadi centre, WCD office"
Kanyashree Prakalpa,Age proof|Income certificate|Aadhaar|Bank account in the girl's name|Admission proof|Self-declaration of being unmarried,"Apply online through the school or college, which verifies the application","School or college, wbkanyashree.gov.in"
Kanya Sumangala Yojana,Aadhaar|Birth certificate|Income certificate|Bank passbook (Aadhaar-linked)|Residence proof,Apply on the scheme portal or at the District Programme Office and submit the documents,"mksy.up.gov.in, District Programme Office"
Gruha Lakshmi,Aadhaar|Ration card (BPL/APL/AAY)|Bank passbook (Aadhaar-linked)|Mobile number,"Apply on the Seva Sindhu portal or at a Grama One, Karnataka One or Bangalore One centre","Seva Sindhu, Grama One, Karnataka One"
Magalir Urimai Thogai,Aadhaar|Family ration card|Bank passbook (Aadhaar-linked)|Electricity connection proof|Income proof,"Apply at the notified camps, ration shop or taluk office, as announced by the state","Taluk office, ration shop, special camps"
Pudhumai Penn,Aadhaar|Bank passbook (Aadhaar-linked)|Government school completion certificate|College admission or bonafide certificate,Apply online at the scheme portal through your college,"pudhumaipenn.tn.gov.in, your college"
Pragati Scholarship for Girl Students (AICTE),Aadhaar|Income certificate|Admission proof|Class 10/12 marksheet|Bank passbook (Aadhaar-linked),"Register on the National Scholarship Portal, fill the application, upload the documents and submit before the deadline. Your institution then verifies it","National Scholarship Portal (scholarships.gov.in), your school or college"
Saksham Scholarship (AICTE),Aadhaar|Disability certificate (40%+)|Income certificate|Admission proof|Marksheets|Bank passbook (Aadhaar-linked),"Register on the National Scholarship Portal, fill the application, upload the documents and submit before the deadline. Your institution then verifies it","National Scholarship Portal (scholarships.gov.in), your school or college"
Central Sector Scholarship for College and University Students,Aadhaar|Class 12 marksheet|Income certificate|Bonafide certificate|Bank passbook (Aadhaar-linked),"Register on the National Scholarship Portal, fill the application, upload the documents and submit before the deadline. Your institution then verifies it","National Scholarship Portal (scholarships.gov.in), your school or college"
National Means-cum-Merit Scholarship (NMMSS),Aadhaar|Class 8 marksheet|Income certificate|Caste certificate (if applicable)|School bonafide|Bank passbook (Aadhaar-linked),"Clear the state selection test through your school, then complete the application on the National Scholarship Portal","Your school, NSP (scholarships.gov.in), state exam board"
PM YASASVI Scholarship,Aadhaar|OBC/EBC/DNT certificate|Income certificate|Marksheet|School bonafide|Bank passbook (Aadhaar-linked),"Follow the current selection process (entrance test), then apply on the National Scholarship Portal","NSP (scholarships.gov.in), your school"
Post Matric Scholarship for SC Students,Aadhaar|SC caste certificate|Income certificate|Previous marksheet|Admission proof and fee receipts|Bank passbook (Aadhaar-linked),"Register on the National Scholarship Portal, fill the application, upload the documents and submit before the deadline. Your institution then verifies it","National Scholarship Portal (scholarships.gov.in), your school or college"
Post Matric Scholarship for ST Students,Aadhaar|ST caste certificate|Income certificate|Previous marksheet|Admission proof and fee receipts|Bank passbook (Aadhaar-linked),"Register on the National Scholarship Portal, fill the application, upload the documents and submit before the deadline. Your institution then verifies it","National Scholarship Portal (scholarships.gov.in), your school or college"
Merit-cum-Means Scholarship for Minorities,Aadhaar|Proof of minority community|Income certificate|Admission proof|Marksheet|Fee receipts|Bank passbook (Aadhaar-linked),"Register on the National Scholarship Portal, fill the application, upload the documents and submit before the deadline. Your institution then verifies it","National Scholarship Portal (scholarships.gov.in), your school or college"
PM Vidyalaxmi,Aadhaar|Admission letter|Previous marksheets|Fee structure|Co-applicant details and income proof|Bank details,"Apply on the PM-Vidyalaxmi portal with a single common application, and banks respond to it","pmvidyalaxmi.co.in, participating banks"
INSPIRE Scholarship (SHE),Aadhaar|Class 12 marksheet and board rank proof|Admission proof|Bank passbook (Aadhaar-linked),Apply on the INSPIRE portal within the notified dates and upload the documents,online-inspire.gov.in
Telangana ePASS Post Matric Scholarships / Fee Reimbursement,Aadhaar|Income certificate|Caste certificate|Previous marksheets|Admission or bonafide certificate|Bank passbook (Aadhaar-linked)|Ration card,"Apply online on the ePASS portal, and your college verifies the application","telanganaepass.cgg.gov.in, your college"
Ambedkar Overseas Vidya Nidhi,Aadhaar|Caste certificate|Income certificate|Admission or offer letter|GRE/GMAT/IELTS score|Passport|Degree marksheets|Bank passbook (Aadhaar-linked),Apply online on ePASS in the notified window and attend the selection process,telanganaepass.cgg.gov.in
Mahatma Jyotiba Phule BC Overseas Vidya Nidhi,Aadhaar|BC caste certificate|Income certificate|Admission or offer letter|GRE/GMAT/IELTS score|Passport|Degree marksheets|Bank passbook (Aadhaar-linked),Apply online on ePASS in the notified window and attend the selection process,telanganaepass.cgg.gov.in
PM Kisan Maandhan Yojana,Aadhaar|Bank passbook (Aadhaar-linked) with IFSC|Land records|Mobile number|Age proof,"Visit a CSC with the documents, enrol, and pay the first contribution","CSC, pmkmy.gov.in"
Rythu Bima,Pattadar passbook|Aadhaar|Nominee details|Bank passbook (Aadhaar-linked),Contact your Agriculture Extension Officer to enrol through your cluster,Mandal Agriculture Office
Soil Health Card Scheme,Land details|Aadhaar|Mobile number,"Ask the agriculture department or Krishi Vigyan Kendra to take a soil sample, then get your card","Local agriculture office, KVK, soilhealth.dac.gov.in"
PM Krishi Sinchayee Yojana (PMKSY),Land records|Aadhaar|Bank passbook (Aadhaar-linked)|Water source proof|Caste certificate (for higher subsidy),Apply at the state agriculture or horticulture department and choose an approved dealer,District Horticulture or Agriculture office
Agriculture Infrastructure Fund,Aadhaar|PAN|Project report|Land or lease proof|KYC documents|Bank details,Register on the AIF portal and apply for a loan through a participating bank,"agriinfra.dac.gov.in, participating bank"
PM-KUSUM (Solar Pumps for Farmers),Aadhaar|Land records|Electricity connection details|Bank details|Photo,Apply through the state nodal agency portal or your electricity company,"State nodal agency, pmkusum.mnre.gov.in"
PM Mudra Yojana,Identity proof|Address proof|Business proof|Bank statement|Photo|Business plan or quotation|Caste certificate (if applicable),"Apply at a bank, NBFC or MFI, or through the Udyamimitra portal","Bank, NBFC, MFI, udyamimitra.in"
PMEGP (Prime Minister's Employment Generation Programme),Aadhaar|Project report|Caste or special category proof|Education proof (for larger projects)|Photo|Bank details,"Apply on the PMEGP e-portal, attend the interview, then the bank sanctions the loan","kviconline.gov.in/pmegpeportal, bank"
Startup India,Certificate of incorporation|PAN|Description of innovation|Director details|Website or pitch,Register on the Startup India portal and apply for DPIIT recognition,startupindia.gov.in
PM Internship Scheme,Aadhaar|Resume|Education certificates|Bank account (Aadhaar-linked)|Mobile and email,"Register on the PM Internship portal, create your profile and apply for internships",pminternship.mca.gov.in
PM Kaushal Vikas Yojana (PMKVY),Aadhaar|Bank passbook (Aadhaar-linked)|Photo|Education proof,Find a nearby training centre on the Skill India portal and enrol,"Skill India portal, PMKVY training centre"
DDU-GKY,Aadhaar|Age proof|Ration card or BPL proof|Caste certificate (if applicable)|Education proof,Contact the block or district livelihood mission office or a DDU-GKY training partner,"DDU-GKY training centre, block office"
MGNREGA,Aadhaar|Passport photo|Bank passbook (Aadhaar-linked)|Family details|Residence proof,"Apply to the Gram Panchayat for a job card, then ask for work in writing",Gram Panchayat
e-Shram (Unorganised Workers),Aadhaar with a linked mobile|Bank account|Mobile number,Register yourself on eshram.gov.in or at a CSC or post office,"eshram.gov.in, CSC, post office"
Atal Pension Yojana,Aadhaar|Savings bank account|Mobile number|Nominee details,"Fill in the APY form at your bank or through net banking, and set up auto-debit","Bank branch, post office"
PM Suraksha Bima Yojana,Aadhaar|Savings bank account|Nominee details,Fill in the PMSBY form at your bank or through net banking and allow auto-debit of the premium,"Bank branch, post office"
PM Jeevan Jyoti Bima Yojana,Aadhaar|Savings bank account|Nominee details,Fill in the PMJJBY form at your bank or through net banking and allow auto-debit of the premium,"Bank branch, post office"
PM Shram Yogi Maandhan (PM-SYM),Aadhaar|Savings bank account with IFSC|Mobile number|Age proof,"Visit a CSC, self-declare and pay the first contribution","CSC, maandhan.in"
Indira Gandhi National Old Age Pension (NSAP),Aadhaar|Age proof|BPL card|Bank passbook (Aadhaar-linked)|Photo|Residence proof,"Apply at the Gram Panchayat, municipality or block office, or as the state notifies","Gram Panchayat, municipal office, state pension office"
Indira Gandhi National Widow Pension (NSAP),Aadhaar|Husband's death certificate|Age proof|BPL card|Bank passbook (Aadhaar-linked)|Photo,"Apply at the Gram Panchayat, municipality or block office, or as the state notifies","Gram Panchayat, municipal office, state pension office"
Indira Gandhi National Disability Pension (NSAP),Aadhaar|Disability certificate (80% or more)|BPL card|Bank passbook (Aadhaar-linked)|Photo,"Apply at the Gram Panchayat, municipality or block office, or as the state notifies","Gram Panchayat, municipal office, state pension office"
National Family Benefit Scheme (NSAP),Death certificate of the breadwinner|BPL card|Aadhaar|Bank passbook (Aadhaar-linked)|Age proof of the deceased,"Apply within the time limit at the tehsil, block or district social welfare office","Tehsil or block office, district social welfare office"
Ayushman Vay Vandana Card,Aadhaar|Mobile number|Age proof,"Apply on the PM-JAY beneficiary portal or app, or at a CSC or empanelled hospital","beneficiary.nha.gov.in, CSC, empanelled hospital"
Rajiv Aarogyasri,White ration card|Aadhaar|Photo ID,Go to an empanelled hospital and register at the Aarogyasri Mitra desk with your card and ID,Empanelled hospital (Aarogyasri Mitra desk)
PM Surakshit Matritva Abhiyan,MCP card|Aadhaar|ID proof,Visit a government health facility on the 9th of any month for a free check-up,"PHC, community health centre, government hospital"
National Food Security Act (Public Distribution System),Aadhaar of all members|Address proof|Passport photos|Income certificate|Mobile number,"Apply for a ration card at the civil supplies office, Mee Seva or the state food portal","Civil supplies office, Mee Seva"
Rashtriya Vayoshri Yojana,Aadhaar|BPL card or income proof|Age proof|Medical or disability assessment|Photo,Register through the state or ALIMCO camps for assessment and receiving aids,"District social justice office, ALIMCO camps"
PM Awas Yojana - Urban 2.0,Aadhaar|Income certificate|Bank passbook (Aadhaar-linked)|Address proof|Declaration of no pucca house|Land or property documents,Apply on the PMAY-U portal or at your municipality or a CSC,"pmay-urban.gov.in, municipal office, CSC"
PM Awas Yojana - Gramin,Aadhaar|Job card|Bank passbook (Aadhaar-linked)|Plot proof|SECC/Awaas+ listing|Photo,"Beneficiaries come from the Awaas+ list, so contact your Gram Panchayat or block office","Gram Panchayat, Block Development Office"
PM Surya Ghar Muft Bijli Yojana,Electricity bill|Aadhaar|Bank account|Proof of roof ownership|Mobile number,"Register on the national portal with your electricity consumer number, choose a vendor, install, then claim the subsidy",pmsuryaghar.gov.in
Indiramma Atmiya Bharosa,Aadhaar|MGNREGS job card|Ration card|Bank passbook (Aadhaar-linked),"Eligible families are drawn from job-card records, so verify at the Mandal office or Gram Panchayat","Gram Panchayat, MPDO"
Indiramma Minority Mahila Yojana,Aadhaar|Minority community proof|Income certificate|Bank passbook (Aadhaar-linked)|Self-employment plan,Apply through the Telangana Minorities Finance Corporation in the notified window,"TMFC district office, tgmfc.com"
Mahalakshmi Free Bus Travel,Aadhaar or other ID with Telangana address,No application needed. Show your ID to the conductor when you board,State-run ordinary and express buses
Rajiv Gandhi Civils Abhaya Hastham,UPSC Prelims result|Aadhaar|Income certificate|Residence proof|Bank passbook (Aadhaar-linked),Apply online in the notified window and upload the documents,Official Telangana government portal
Subhadra Yojana,Aadhaar|Bank account (Aadhaar-linked)|Mobile number|Residence proof|Photo,"Apply at a Mo Seva Kendra, an Anganwadi centre or the official portal","subhadra.odisha.gov.in, Anganwadi, Mo Seva Kendra"
Mukhyamantri Maiyan Samman Yojana,Aadhaar|Bank passbook (Aadhaar-linked)|Income proof or ration card|Residence proof|Photo,Apply at the Panchayat camps or on the official portal,"mmmsy.jharkhand.gov.in, Panchayat office"
Mahtari Vandan Yojana,Aadhaar|Ration card|Bank passbook (Aadhaar-linked)|Photo|Residence proof,Apply at the Anganwadi centre or the Panchayat office,"Anganwadi centre, Panchayat office"
Yuva Nidhi,Aadhaar|Degree or diploma certificate|Karnataka residence proof|Bank passbook (Aadhaar-linked)|Declaration of being unemployed,Apply on the Seva Sindhu portal,sevasindhugs.karnataka.gov.in
Talliki Vandanam,Aadhaar of the mother|Child's school enrolment proof|Ration card|Bank passbook (Aadhaar-linked),Your details are verified through the school and the village or ward secretariat,"Village or ward secretariat, school"
